AsId,Nazwa,Marza,OpcjaMarzy,HurtRabat,OpcjaRabatu,NocNarzut,OpcjaNarzutu,CentrAsId,UkrytyNaPanelach,UkrytyNaBonowniku,BezAutoEtykiet,Param1,Autoryzacja
1,ALKOHOLE I PIWA,0.0,0,0,0,0,0,,0.0,,0.0,,
2,3 ALKOHOLE INNE POWYŻEJ 18%,0.0,0,0,0,0,0,,0.0,,0.0,,
3,1 PIWO BUTELKA,0.0,0,0,0,0,0,,0.0,,0.0,,
4,1 PIWO PUSZKA,0.0,0,0,0,0,0,,0.0,,0.0,,
5,2 WINA MUSUJĄCE I SZAMPANY do 18%,0.0,0,0,0,0,0,,0.0,,0.0,,
6,3 WHISKY RUM BRANDY RUM BOURBON,0.0,0,0,0,0,0,,0.0,,0.0,,
7,"2 WINA, MIÓD NALEWKA DO 18%",0.0,0,0,0,0,0,,0.0,,0.0,,
8,3 WÓDKI I NAP.ALK POWYŻEJ 18%,0.0,0,0,0,0,0,,0.0,,0.0,,
9,x PAPIERNICZO HIGIENICZNE,0.0,0,0,0,0,0,,0.0,,0.0,,
10,CHUSTECZKI HIGIENICZNE /papierniczo hig,0.0,0,0,0,0,0,,0.0,,0.0,,
11,PAPIER TOALETOWY /papierniczo hig,0.0,0,0,0,0,0,,0.0,,0.0,,
12,"PŁATKI, WACIKI I PATYCZKI /papierniczo h",0.0,0,0,0,0,0,,0.0,,0.0,,
13,"PODPASKI, TAMPONY I WKŁADKI /papierniczo",0.0,0,0,0,0,0,,0.0,,0.0,,
14,RĘCZNIKI KUCHENNE /papierniczo hig,0.0,0,0,0,0,0,,0.0,,0.0,,
25,BUDYNIE /dodatki deserowe,0.0,0,0,0,0,0,,0.0,,0.0,,
26,CIASTA W PROSZKU /dodatki deserowe,0.0,0,0,0,0,0,,0.0,,0.0,,
27,"DEKORACJE I MASY, AROMATY /dodatki deser",0.0,0,0,0,0,0,,0.0,,0.0,,
28,GALARETKI /dodatki deserowe,0.0,0,0,0,0,0,,0.0,,0.0,,
29,"KISIELE, OWSIANKI SŁODKIE CHWILE /",0.0,0,0,0,0,0,,0.0,,0.0,,
30,KREMY DO SMAROWANIA /dodatki deserowe,0.0,0,0,0,0,0,,0.0,,0.0,,
