DokId,Kolejnosc,NrPozycji,SKU,TypPoz,IloscPlus,IloscMinus,CenaPoRab,Wartosc,Data,KolejnyWDniu,NrDok,TypDok,Aktywny,NrKolejny,AsId,Nazwa_towar,Kod,Marza,CenaDet,Nazwa_asort,Rok,Miesiac,RokMiesiac,DzienTygodnia,czy_remanent,ilosc_netto,Ruch,nazwa_dnia,dlugi_weekend,niedziela_handlowa,kategoria_dnia,Stan_przed,Stan,pareto,marza_zl
1982216,3000,3000,11398,3,192.0,0.0,2.5987,498.9504,2023-01-01,4.0,BO/23/1,14,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,6,False,192.0,,Niedziela,False,False,Niedziela,0.0,192.0,C (ogon),0.0
1982218,2917,2917,11398,3,0.0,0.0,2.6,0.0,2023-01-01,6.0,BO/23/2,14,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,6,False,0.0,,Niedziela,False,False,Niedziela,192.0,192.0,C (ogon),0.0
1166271,6,6,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,86.0,DF/PAR/230102/60/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,192.0,191.0,C (ogon),0.0
1166296,2,2,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,111.0,DF/PAR/230102/83/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,191.0,190.0,C (ogon),0.0
1166610,1,1,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,426.0,DF/PAR/230102/324/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,190.0,189.0,C (ogon),0.0
1166615,2,2,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,431.0,DF/PAR/230102/72/1,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,189.0,188.0,C (ogon),0.0
1166686,1,1,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,502.0,DF/PAR/230102/80/1,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,188.0,187.0,C (ogon),0.0
1166770,1,1,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,582.0,DF/PAR/230102/140/1,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,187.0,186.0,C (ogon),0.0
1166912,5,5,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,722.0,DF/PAR/230102/410/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,186.0,185.0,C (ogon),0.0
1167043,1,1,11398,4,1.0,0.0,6.4722,6.4722,2023-01-02,853.0,DF/PAR/230102/477/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,0,False,-1.0,-0.0,Poniedziałek,False,False,Poniedziałek,185.0,184.0,C (ogon),0.0
1167172,4,4,11398,4,1.0,0.0,6.4722,6.4722,2023-01-03,77.0,DF/PAR/230103/559/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,1,False,-1.0,-0.0,Wtorek,False,False,Wtorek,184.0,183.0,C (ogon),0.0
1167319,9,9,11398,4,1.0,0.0,6.4722,6.4722,2023-01-03,224.0,DF/PAR/230103/679/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,1,False,-1.0,-0.0,Wtorek,False,False,Wtorek,183.0,182.0,C (ogon),0.0
1167343,1,1,11398,4,1.0,0.0,6.4722,6.4722,2023-01-03,248.0,DF/PAR/230103/701/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,1,False,-1.0,-0.0,Wtorek,False,False,Wtorek,182.0,181.0,C (ogon),0.0
1167439,2,2,11398,4,1.0,0.0,6.4722,6.4722,2023-01-03,342.0,DF/PAR/230103/767/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,1,False,-1.0,-0.0,Wtorek,False,False,Wtorek,181.0,180.0,C (ogon),0.0
1167519,2,2,11398,4,1.0,0.0,6.4722,6.4722,2023-01-03,415.0,DF/PAR/230103/836/2,21,1.0,,151.0,CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER,5902136817550.0,0.0,3.2315,CUKIER /zbożowe i sypkie,2023,1,2023-01,1,False,-1.0,-0.0,Wtorek,False,False,Wtorek,180.0,179.0,C (ogon),0.0
