TowId,NazwaTow,NazwaAsort,DataOstatniegoRuchu,AktualnyStanMagazynowy,StanMniejPewny,JestWazony,OstatniaSprzedaz,PierwszaSprzedaz,ProduktJeszczeNieSprzedawany,NazwaTow_slownik,EAN,NazwaAsort_slownik,KategoriaRotacji,DniOdOstatniejSprzedazy,PrawdopodobnieSezonowy,KategoriaABC,KategoriaFinalna,UdzialProcentowy,JestWazony_slownik,AlarmWazneMartwe
15,SOS TABASCO RED 57ML DEVELEY,SOSY GOTOWE /przetwory owocowe,2025-12-01,2.0,False,False,2025-12-01,2023-02-04,False,SOS TABASCO RED 57ML DEVELEY,11210000018.0,SOSY GOTOWE /przetwory owocowe,aktywny,61.0,False,B,B,0.004388470133928111,False,False
49,"WINO B/PW CARLO ROSSI WHITE 10,5% 750ML CEDC","2 WINA, MIÓD NALEWKA DO 18%",2026-01-23,8.0,False,False,2026-01-17,2023-03-01,False,"WINO B/PW CARLO ROSSI WHITE 10,5% 750ML CEDC",85000001868.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,14.0,False,B,B,0.0033778368986854793,False,False
53,"WINO C/S CARLO ROSSI 9,5% 750ML CEDC","2 WINA, MIÓD NALEWKA DO 18%",2026-01-23,5.0,False,False,2026-01-17,2023-01-19,False,"WINO C/S CARLO ROSSI 9,5% 750ML CEDC",85000019849.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,14.0,False,B,B,0.007357618783764904,False,False
55,WINO B/S CARLO ROSSI SWEET WHITE MOSCATO 9% 750ML CEDC,"2 WINA, MIÓD NALEWKA DO 18%",2025-11-27,3.0,False,False,2025-11-27,2023-01-20,False,WINO B/S CARLO ROSSI SWEET WHITE MOSCATO 9% 750ML CEDC,85000022511.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,65.0,False,B,B,0.006104344742532414,False,False
56,WINO R/S CARLO ROSSI PINK MOSCATO 9% 750ML CEDC,"2 WINA, MIÓD NALEWKA DO 18%",2026-01-13,5.0,False,False,2026-01-13,2023-01-31,False,WINO R/S CARLO ROSSI PINK MOSCATO 9% 750ML CEDC,85000023211.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,18.0,False,B,B,0.004711905356246474,False,False
57,WINO C/S MOGEN DAVID POMEGRANATE 10% 750ML BARTEX,"2 WINA, MIÓD NALEWKA DO 18%",2026-01-30,5.0,False,False,2026-01-30,2023-01-16,False,WINO C/S MOGEN DAVID POMEGRANATE 10% 750ML BARTEX,85904000004.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,1.0,False,A,A,0.040121389483984,False,False
58,WINO C/PS MOGEN DAVID CONCORD 11% 750ML BARTEX,"2 WINA, MIÓD NALEWKA DO 18%",2026-01-30,5.0,False,False,2026-01-29,2023-01-04,False,WINO C/PS MOGEN DAVID CONCORD 11% 750ML BARTEX,85904000035.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,2.0,False,A,A,0.029304964732815898,False,False
60,WINO B/PS MOGEN DAVID MOSCATO SPOKOJNE 11% 750ML US BARTEX,"2 WINA, MIÓD NALEWKA DO 18%",2026-01-30,5.0,False,False,2026-01-23,2023-01-28,False,WINO B/PS MOGEN DAVID MOSCATO SPOKOJNE 11% 750ML US BARTEX,85904000295.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,8.0,False,B,B,0.007797887611307234,False,False
62,WINO MOGEN DAVID BLACKBERRY CZ/S 11% 750ML BARTEX,"2 WINA, MIÓD NALEWKA DO 18%",2026-01-20,5.0,False,False,2026-01-19,2023-01-10,False,WINO MOGEN DAVID BLACKBERRY CZ/S 11% 750ML BARTEX,85904194406.0,"2 WINA, MIÓD NALEWKA DO 18%",aktywny,12.0,False,A,A,0.02100398759819852,False,False
64,"RUM CAPITAN MORGAN BLACK LABEL 40% 0,7L",3 ALKOHOLE INNE POWYŻEJ 18%,2026-01-31,1.0,False,False,2026-01-31,2025-05-14,False,"RUM CAPITAN MORGAN BLACK LABEL 40% 0,7L",87000652286.0,3 ALKOHOLE INNE POWYŻEJ 18%,aktywny,0.0,True,C,C,0.0006379830698945403,False,False
65,Chleb mieszany 0.6 kg PRECELEK,PIECZYWO,2026-01-31,267.4,True,False,2026-01-31,2023-01-02,False,Chleb mieszany 0.6 kg PRECELEK,101.0,PIECZYWO,aktywny,0.0,False,A,A,0.13079894512354295,False,False
68,Chleb mieszany krojony 0.6kg    PRECELEK,PIECZYWO,2026-01-31,726.0,True,False,2026-01-31,2023-01-02,False,Chleb mieszany krojony 0.6kg    PRECELEK,102.0,PIECZYWO,aktywny,0.0,False,A,A,0.2817310123952985,False,False
70,Chleb mieszany okragly 0.3 kg  PRECELEK,CHLEBY,2026-01-31,29.5,True,False,2026-01-31,2023-01-02,False,Chleb mieszany okragly 0.3 kg  PRECELEK,104.0,CHLEBY,aktywny,0.0,False,A,A,0.016282260808546032,False,False
71,"Chleb RAZOWY MIX 0,4kg.",CHLEBY,2026-01-31,221.0,True,False,2026-01-31,2023-01-03,False,"Chleb RAZOWY MIX 0,4kg.",105.0,CHLEBY,aktywny,0.0,False,A,A,0.0957408815000079,False,False
72,CHLEB MIESZANY OKRĄGŁY 1KG PRECELEK,CHLEBY,2026-01-31,88.5,True,True,2026-01-31,2023-08-16,False,CHLEB MIESZANY OKRĄGŁY 1KG PRECELEK,106.0,CHLEBY,aktywny,0.0,False,A,A,0.01890193058026679,True,False
73,CHLEB MIESZANY 0.25 DLUGI,CHLEBY,2026-01-31,21.0,True,False,2026-01-31,2023-01-02,False,CHLEB MIESZANY 0.25 DLUGI,107.0,CHLEBY,aktywny,0.0,False,A,A,0.031099500345652634,False,False
74,ZAPALNICZKA DZIEWCZYNY A50,ZAPALNICZKI I ZAPAŁKI /przemysłowe,2024-11-10,0.0,True,False,2023-08-24,2023-02-02,False,ZAPALNICZKA DZIEWCZYNY A50,59071594.0,ZAPALNICZKI I ZAPAŁKI /przemysłowe,martwy,891.0,False,C,D,0.0008738085638230863,False,False
75,PIECZYWO MIX,BUŁKI,2026-01-31,225.0,True,False,2026-01-31,2023-01-09,False,PIECZYWO MIX,111.0,BUŁKI,aktywny,0.0,False,A,A,0.5726763985481582,False,False
76,SUCHARKI 100G PRECELEK,CHLEBY,2025-07-16,-6.0,False,False,2025-06-16,2023-05-16,False,SUCHARKI 100G PRECELEK,112.0,CHLEBY,sezonowy_poza_sezonem,229.0,True,C,C,0.00026453646754374396,False,False
77,ANGIELKA KROJONA                 MIKOLAJ,PIECZYWO,2026-01-31,201.0,True,False,2026-01-31,2023-01-02,False,ANGIELKA KROJONA                 MIKOLAJ,113.0,PIECZYWO,aktywny,0.0,False,A,A,0.08952707337253676,False,False
78,"MIKOŁAJ, CHOINKA 100G MAREL",PIECZYWO,2025-12-11,-1.0,False,False,2025-12-11,2025-12-11,False,"MIKOŁAJ, CHOINKA 100G MAREL",115.0,PIECZYWO,aktywny,51.0,False,C,C,4.205751125663605e-05,False,False
79,"CHALKA 0,5KG PRECELEK",PIECZYWO,2026-01-31,17.4,True,True,2026-01-31,2023-01-02,False,"CHALKA 0,5KG PRECELEK",116.0,PIECZYWO,aktywny,0.0,False,A,A,0.24599465858338646,True,False
80,PALUCH Z NADZIENIEM JOGURTOWO-SEROWYM,PIECZYWO,2024-11-10,-1.5,False,False,2023-06-03,2023-06-03,False,PALUCH Z NADZIENIEM JOGURTOWO-SEROWYM,117.0,PIECZYWO,martwy,973.0,False,C,D,9.979504872196866e-06,False,False
81,BULKA Z SEREM MAREL,BUŁKI,2025-07-16,-2.0,False,False,2025-04-02,2025-01-27,False,BULKA Z SEREM MAREL,118.0,BUŁKI,zagrozony,304.0,False,C,C,2.0470807568477377e-05,False,False
82,BULKA HOT DOG Z SEREM,BUŁKI,2026-01-31,88.0,True,False,2026-01-31,2023-01-02,False,BULKA HOT DOG Z SEREM,119.0,BUŁKI,aktywny,0.0,False,A,A,0.07736120135770062,False,False
83,DULAFKA SZKL,AKCESORIA tytoniowe,2026-01-31,93.0,False,False,2026-01-31,2023-01-03,False,DULAFKA SZKL,12.0,AKCESORIA tytoniowe,aktywny,0.0,False,B,B,0.002683929138909833,False,False
84,CHLEB TOSTOWY 400G PRECELEK,CHLEBY,2026-01-28,11.0,True,False,2026-01-28,2023-01-02,False,CHLEB TOSTOWY 400G PRECELEK,120.0,CHLEBY,aktywny,3.0,False,C,C,0.0020284648018684876,False,False
86,Bulka poznanska 0.1,BUŁKI,2026-01-31,-757.0,True,False,2026-01-31,2023-01-02,False,Bulka poznanska 0.1,122.0,BUŁKI,aktywny,0.0,False,A,A,0.2859520384199516,False,False
89,"Strucla turecka, zulik 0.9",PIECZYWO,2026-01-31,14.0,True,False,2026-01-31,2023-01-03,False,"Strucla turecka, zulik 0.9",125.0,PIECZYWO,aktywny,0.0,False,A,A,0.0415301174163537,False,False
90,"Strucla turecka, zulik 0.18kg",PIECZYWO,2026-01-31,-4.0,True,False,2026-01-31,2023-01-03,False,"Strucla turecka, zulik 0.18kg",126.0,PIECZYWO,aktywny,0.0,False,A,A,0.06531228896310344,False,False
92,BUŁKA ZIARNO MIX,BUŁKI,2026-01-31,92.0,True,False,2026-01-31,2023-01-02,False,BUŁKA ZIARNO MIX,128.0,BUŁKI,aktywny,0.0,False,A,A,0.13603633309234428,False,False
93,BAJGLE SEZAM/ MAK 70G MAREL,BUŁKI,2025-08-25,35.0,False,False,2025-08-23,2025-04-22,False,BAJGLE SEZAM/ MAK 70G MAREL,129.0,BUŁKI,zagrozony,161.0,False,B,B,0.0034252843153205854,False,False
95,BUŁKA KAJZERKA PRECELEK,BUŁKI,2026-01-31,-332.0,True,False,2026-01-31,2023-01-02,False,BUŁKA KAJZERKA PRECELEK,130.0,BUŁKI,aktywny,0.0,False,A,A,0.11122115511821484,False,False
96,BUŁKA KAJZERKA 50G MAREL,BUŁKI,2026-01-31,-666.0,True,False,2026-01-31,2023-01-02,False,BUŁKA KAJZERKA 50G MAREL,131.0,BUŁKI,aktywny,0.0,False,A,A,0.35284150754481985,False,False
99,PĄCZEK SZT,DROŻDŻÓWKI I PĄCZKI,2026-01-31,-223.0,False,False,2026-01-31,2024-01-24,False,PĄCZEK SZT,132.0,DROŻDŻÓWKI I PĄCZKI,aktywny,0.0,False,A,A,0.1228610863343232,False,False
100,PĄCZEK PISTACJA SZT,BUŁKI,2026-01-30,80.0,True,False,2026-01-30,2023-09-01,False,PĄCZEK PISTACJA SZT,133.0,BUŁKI,aktywny,1.0,False,A,A,0.01439538106109799,False,False
101,PĄCZEK DUBAJSKI SZT MARIOLLI,DROŻDŻÓWKI I PĄCZKI,2026-01-20,14.0,False,False,2026-01-09,2025-04-04,False,PĄCZEK DUBAJSKI SZT MARIOLLI,134.0,DROŻDŻÓWKI I PĄCZKI,aktywny,22.0,True,C,C,0.0017660015024004868,False,False
104,MINI JAGODZIANKI KG PAWEŁEK,CIASTKA WAGA,2026-01-30,-3.617000000000002,False,True,2026-01-30,2025-07-12,False,MINI JAGODZIANKI KG PAWEŁEK,137.0,CIASTKA WAGA,aktywny,1.0,False,A,A,0.01932083820467412,True,False
105,KULKI SEROWE KG PAWEŁEK,CIASTKA WAGA,2026-01-31,-1.1209999999999998,False,True,2026-01-31,2025-09-10,False,KULKI SEROWE KG PAWEŁEK,138.0,CIASTKA WAGA,aktywny,0.0,True,B,B,0.0036185907956349257,True,False
106,PASZTECIK KG PAWEŁEK,CIASTKA WAGA,2026-01-31,-1.2860000000000003,False,True,2026-01-31,2025-09-11,False,PASZTECIK KG PAWEŁEK,139.0,CIASTKA WAGA,aktywny,0.0,True,B,B,0.006255483724800709,True,False
108,ROGALIKI ŚLIWKA/MAK KG PAWEŁEK,CIASTKA WAGA,2026-01-29,-2.444,False,True,2026-01-29,2025-04-30,False,ROGALIKI ŚLIWKA/MAK KG PAWEŁEK,140.0,CIASTKA WAGA,aktywny,2.0,False,B,B,0.00487772066618293,True,False
109,BULKA HAMBURGER CZESIEK 0.9,BUŁKI,2025-11-15,-8.0,False,False,2025-11-10,2023-04-24,False,BULKA HAMBURGER CZESIEK 0.9,141.0,BUŁKI,aktywny,82.0,True,C,C,0.0003976707781950317,False,False
